country,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,country_code
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,14.7,11,11,14.7,14.7,18.3,22,25.7,18.3,18.3,22,25.7,29.3,29.3,29.3,33,33,36.7,47.7,47.7,55,66,62.3,62.3,99,99,114,139,147,158,158,161,161,172,172,161,180,183,180,176,180,180,187,187,198,198,198,213,231,246,253,290,290,293,293,308,352,367,381,433,447,455,433,513,GMB
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,3.67,11,7.33,7.33,11,11,11,11,14.7,18.3,29.3,40.3,47.7,58.7,66,66,47.7,62.3,58.7,69.7,73.3,66,110,103,114,95.3,103,103,110,147,143,143,143,161,172,183,194,216,231,172,176,180,183,183,183,183,202,172,194,147,150,154,194,202,213,216,231,227,235,238,246,253,257,271,GNB
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,29.3,36.7,36.7,33,47.7,47.7,22,22,22,25.7,25.7,29.3,25.7,25.7,29.3,44,36.7,66,88,29.3,51.3,62.3,62.3,62.3,69.7,62.3,58.7,69.7,73.3,62.3,80.7,66,80.7,99,106,117,66,143,158,99,33,128,114,290,165,466,455,3090,4980,6020,5220,4710,4760,4800,4500,4620,4680,6130,5120,5160,5350,GNQ
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909,1390,1590,1510,1700,1990,2220,2280,2090,2210,2430,2400,2630,2860,2830,2470,2680,2700,2820,3130,3080,3690,3870,3920,4950,4980,4610,5060,5320,5040,6200,6530,4690,4660,4320,3770,4160,5170,4790,5190,5820,4840,5540,6350,6560,7550,9330,8270,10000,10200,10400,9370,7970,6750,7620,8560,9570,9830,10200,12400,12200,13500,12500,13300,14300,KEN
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7,44,55,58.7,103,58.7,47.7,84.3,161,143,165,161,253,356,484,557,612,612,884,1270,1450,1530,1510,1480,1720,1490,1480,1470,1510,1950,2040,1940,601,711,700,722,730,766,818,667,473,279,282,315,312,326,337,348,374,392,422,491,488,521,616,726,748,667,565,517,792,891,1030,957,935,LBR
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,169,165,249,301,429,330,312,352,433,693,1200,1050,1460,664,1020,2630,18500,30100,35600,32300,21600,15200,14600,9350,11600,17900,20100,21200,26000,26900,28800,30800,30400,28600,31400,34100,32600,36400,37300,36800,42900,37300,38900,44100,46000,44200,45000,45500,44600,47100,48100,47800,49200,50400,52100,53300,50000,56000,58000,62000,39700,52700,56300,57000,LBY
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470,1530,1590,1640,1680,1710,1740,1770,1800,1830,1850,1880,1910,1930,1980,2010,2040,2080,2130,2220,2280,2330,2410,2430,2470,LSO
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,33,40.3,91.7,150,176,191,235,213,370,466,319,396,389,330,356,422,524,686,832,942,1090,2560,2930,3570,4180,3590,3560,3520,3060,3270,3370,3640,3780,3080,3960,4420,4260,5470,5420,5630,5830,7290,8200,8050,9640,11100,11100,11500,12700,13100,16000,15900,15900,17100,17800,17800,17900,18900,20100,21200,22900,23500,25000,26000,28200,29600,30400,31200,31900,32000,33200,33900,37700,38300,37600,43300,45800,47400,50300,52900,52500,56000,57700,62700,59100,59900,MAR
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,7.33,3.67,,,,,,,,,,7.33,,3.67,3.67,3.67,304,246,308,253,290,304,319,315,374,374,400,356,396,462,484,557,579,843,913,851,972,1030,1290,1070,1190,1690,994,847,1020,1130,1620,1030,1020,653,869,1060,1140,1290,1290,931,950,1030,1000,1030,1270,1270,1360,1650,1740,1920,1870,1740,1240,1700,1810,1740,1680,1820,1890,1770,1960,2340,2710,3120,3080,MDG
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7,121,117,139,176,176,198,191,224,198,161,202,227,246,268,304,341,341,414,396,429,392,396,367,418,436,407,381,359,385,418,422,436,444,455,462,469,488,524,763,796,821,829,847,843,876,898,942,1010,1070,807,964,1050,994,1030,1410,MLI
