年度,職類別,行業別,受僱員工人數,總薪資,經常性薪資,非經常性薪資
2018,運輸事務人員(含稽查、調度、管理、航務),石油及天然氣礦業,… ,… ,… ,… 
2018,人事事務人員,石油及天然氣礦業,14,"62,339","51,229","11,110"
2018,服務及銷售工作人員,石油及天然氣礦業,41,"81,450","54,183","27,267"
2018,廚師,石油及天然氣礦業,— ,— ,— ,— 
2018,消防人員,石油及天然氣礦業,11,"75,288","55,925","19,363"
2018,建築物管理員、保全及警衛人員,石油及天然氣礦業,… ,… ,… ,… 
2018,救生員,石油及天然氣礦業,… ,… ,… ,… 
2018,技藝、機械設備操作及組裝人員,石油及天然氣礦業,372,"71,522","52,391","19,131"
2018,砌石、裁石及石雕人員,石油及天然氣礦業,— ,— ,— ,— 
2018,管道裝設人員(含檢修),石油及天然氣礦業,34,"79,140","58,143","20,997"
2018,焊接及切割人員(含電焊工、氣焊工),石油及天然氣礦業,23,"64,683","48,701","15,982"
2018,工具製造人員(含模具工、鉗工),石油及天然氣礦業,18,"67,269","51,695","15,574"
2018,車輛維修人員(含自行車、機車、汽車、火車),石油及天然氣礦業,6,"77,682","61,463","16,219"
2018,產業用機器維修人員,石油及天然氣礦業,… ,… ,… ,… 
2018,電力機械裝修人員,石油及天然氣礦業,44,"69,736","50,003","19,733"
2018,電子設備裝修人員（不含資通訊設備）,石油及天然氣礦業,47,"67,446","51,531","15,915"
2018,木材處理、家具木工及有關工作人員,石油及天然氣礦業,… ,… ,… ,… 
2018,採礦及採石人員(含爆破人員),石油及天然氣礦業,— ,— ,— ,— 
2018,礦石及石材處理設備操作員,石油及天然氣礦業,… ,… ,… ,… 
2018,鑽井及有關工作人員,石油及天然氣礦業,… ,… ,… ,… 
2018,原油處理工,石油及天然氣礦業,… ,… ,… ,… 
2018,化學產品機械操作員(不含藥品、化粧品及照相產品),石油及天然氣礦業,… ,… ,… ,… 
2018,小客、貨車駕駛人員,石油及天然氣礦業,… ,… ,… ,… 
2018,大客、貨車駕駛人員,石油及天然氣礦業,19,"81,380","62,943","18,437"
2018,推土、吊車、起重機等移運設備操作人員,石油及天然氣礦業,37,"78,842","56,927","21,915"
2018,船舶艙面水手及有關工作人員,石油及天然氣礦業,— ,— ,— ,— 
2018,基層技術工及勞力工,石油及天然氣礦業,— ,— ,— ,— 
2018,清潔及家事工作人員(含建築清潔工),石油及天然氣礦業,— ,— ,— ,— 
2018,勞力工,石油及天然氣礦業,— ,— ,— ,— 
2018,廚房幫工(含速食烹調),石油及天然氣礦業,— ,— ,— ,— 
2018,主管及監督人員,砂、石採取及其他礦業,152,"51,819","50,475","1,344"
2018,高階主管(總經理及總執行長),砂、石採取及其他礦業,11,"85,135","85,135",— 
2018,中階主管(經理),砂、石採取及其他礦業,51,"59,464","56,932","2,532"
2018,監督人員(含現場及辦公室主任、科/股長),砂、石採取及其他礦業,90,"43,415","42,580",835
2018,專業人員,砂、石採取及其他礦業,28,"55,188","47,102","8,086"
2018,工管及生管工程師,砂、石採取及其他礦業,— ,— ,— ,— 
2018,土木及水利工程師,砂、石採取及其他礦業,— ,— ,— ,— 
2018,環境工程師,砂、石採取及其他礦業,— ,— ,— ,— 
2018,機械工程師(含造船、輪機、鑄造),砂、石採取及其他礦業,… ,… ,… ,… 
2018,化工工程師,砂、石採取及其他礦業,— ,— ,— ,— 
2018,地質、採礦、鑽探、冶金工程師,砂、石採取及其他礦業,19,"53,467","48,342","5,125"
2018,電機工程師,砂、石採取及其他礦業,— ,— ,— ,— 
2018,電子工程師,砂、石採取及其他礦業,— ,— ,— ,— 
2018,測量師及製圖師,砂、石採取及其他礦業,— ,— ,— ,— 
2018,護理人員,砂、石採取及其他礦業,— ,— ,— ,— 
2018,勞安及衛生管理人員(含工業安全管理師),砂、石採取及其他礦業,… ,… ,… ,… 
2018,專案管理師(含經營管理顧問),砂、石採取及其他礦業,— ,— ,— ,— 
2018,人力資源管理師,砂、石採取及其他礦業,— ,— ,— ,— 
2018,軟體開發及程式設計師,砂、石採取及其他礦業,— ,— ,— ,— 
2018,技術員及助理專業人員,砂、石採取及其他礦業,83,"38,931","35,952","2,979"
2018,營建工程技術員(含建築、土木、景觀、測量、水利),砂、石採取及其他礦業,— ,— ,— ,— 
2018,電機技術員,砂、石採取及其他礦業,… ,… ,… ,… 
2018,機械技術員(含造船、輪機、鑄造),砂、石採取及其他礦業,14,"37,554","33,563","3,991"
2018,化工技術員,砂、石採取及其他礦業,— ,— ,— ,— 
2018,品管技術員,砂、石採取及其他礦業,12,"36,951","36,951",— 
2018,地質、採礦、鑽探、冶金技術員,砂、石採取及其他礦業,14,"40,511","35,830","4,681"
2018,環境工程技術員,砂、石採取及其他礦業,… ,… ,… ,… 
2018,焚化爐、水處理及氣(液)體設備操作員,砂、石採取及其他礦業,… ,… ,… ,… 
2018,石油及天然氣精煉設備操作員,砂、石採取及其他礦業,— ,— ,— ,— 
2018,勞安及衛生技術員,砂、石採取及其他礦業,10,"30,413","30,413",— 
2018,統計及精算助理專業人員,砂、石採取及其他礦業,— ,— ,— ,— 
2018,工商業銷售代表(含業務員),砂、石採取及其他礦業,16,"38,950","38,950",— 
2018,採購員,砂、石採取及其他礦業,— ,— ,— ,— 
2018,法務人員,砂、石採取及其他礦業,… ,… ,… ,… 
2018,資訊管理及維護技術員,砂、石採取及其他礦業,— ,— ,— ,— 
